vietnamese	english
việc nối	couplement
việc nổ	bursting
việc nội trợ	housewifery
việc phi	well-doing
việc phụ	by-work
việc quanh co	crinkum-crankum
việc rút thăm	lot
việc rủi ro	mishap
việc rối beng	puddle
việc rắc rối	mull
việc rửa ảnh	development
việc sang tên	conveyancing
việc số hoá	digitization
việc sử án	assize
việc sửa hào	ditching
việc thiến	gonadectomy
việc thiện	charity
việc thú vị	cake
việc thêu	broidery
việc thừa	owl
việc tình cờ	hap
việc trả công	payment
việc tố tụng	process
việc tốt	work
việc tặng	giving
việc uỷ thác	message
việc vá may	needlework
việc viết tay	chirography
việc vặt	chore
việc xảy ra	incident
việc xén	paring
việc xét xử	trial
việc xấu	wrongdoing
việc xấu xa	scandal
việc xô xát	incident
việc đan len	knitting
việc đào hào	ditching
việc đái	wee-wee
việc đẽo bớt	paring
việc đóng	performance
việc đúc chữ	typefounding
việc đốn gỗ	logging
việc đời	world
việc đời xưa	antiquity
viện	inst
viện chứng	urge
viện dẫn	adduce
viện hàn lâm	academy
viện lý	allege
viện ra	allege
viện sĩ	immortal
viện sơ tu	noviciate
viện trợ	aid
viện vào	refer
viện đu-ma	duma
việt nam	vietnam
việt vị	off-side
vì chưng	now
vì cớ gì	whereat
vì hối hận	torment
vì lẽ rằng	since
vì lý do đó	hence
vì lương tâm	conscience
vì người	selfless
vì rằng	considering
vì thù hằn	revenge
vì thế	so
vì tiền	wallet
vì việc gì	whereat
vì vậy	so
vì đó	whereat
ví tiền	purse
ví đựng tiền	money-bag
vít bắt gỗ	screw-nail
vít nâng	jack-screw
víu lấy	catch
vĩ mô	macroscopically
vĩ ruồi	fly-swatter
vĩ tuyến	lat
vĩ tố	desinence
vĩ đại	grand
vĩ độ	lat
vĩnh biệt!	ave
vĩnh cữu	eonian
vĩnh cửu	abiding
vĩnh viễn	kept
vỉ ruồi	flapper
vỉ đập ruồi	swatter
vỉa trồi lên	basset
vỉa đất sét	bind
vị cay nồng	fieriness
vị cay tê	bite
vị chủ tế	flamen
vị cứu tinh	messiah
vị hăng	acridity
vị hơi chua	subacidity
vị lợ	lusciousness
vị ngữ	predicate
vị thành niên	infant
vị thần	deity
vị thần nhỏ	godling
vị thần tài	plutus
vị tiên tri	daniel
vị trí chốt	bolt
vị trí hiện	occurence
vị trí trên	anteposition
vị trí đúng	true
vị tư tế	prester
vị từ	predicate
vị tự	homothetic
vị đắng	gall
vịt biển	eider
vịt dầu	oiler
vịt khoang cổ	ring-neck
vịt nhọn đuôi	pintail
vịt trời	gadwall
vịt trời con	flapper
vịt đuôi dài	oldsquaw
vịt đầu nâu	dun-bird
vịt đực	drake
vl nhiệt đới	tropical
vl trọng lực	gravity
vl đĩa	disc
vlđc. bão lốc	hurricane
vlđc. vi chấn	microseism
voi biển	sea-wolf
voi cổ	mammoth
voi răng mấu	mastodon
voi trắng	white
voi độc	rogue
vong hồn	shade
vong ơn	thankless
vòi nước	cock
vòi nước máy	hydrant
vòi phun nước	waterworks
vòi rồng	waterspout
vòi tia nước	flusher
vòi trứng	salpinx
vòi tắm	cooler
vòi xả hơi	air-cock
vòi xịt nước	flusher
vòi xối nước	flusher
vòi ấm	beak
vòi ớt-tát	syrinx
vòm miệng	palate
vòm mềm	velar
vòm trần	conch
vòng  chuẩn	alidad
vòng chạy đua	course
vòng cuộn	turn
vòng cổ	collar
vòng cực hạn	oricycle
vòng dây	lap
vòng dây cáp	fake
vòng dây kiếm	sword-knot
vòng hở	open-loop
vòng khuyên	circlet
vòng khuyết	demicircular
vòng kiềng	bandy
vòng lông cổ	collar
vòng mắt	eye
vòng ngựa gỗ	whirligig
vòng nâng	pessary
vòng râu sờ	lophophore
vòng sắt	hank
vòng sắt nối	ferrel
vòng sắt đệm	ferrel
vòng sừng	rattle
vòng thi đấu	round
vòng trượt	runner
vòng tuổi	annulus
vòng tứ kết	quarterfinal
vòng xoắn	turn
vòng ổ bi	race
vòng ổ trục	race
vòng đai	ring
vòng đeo tay	armilla
vòng điện	compass
vòng đua	lap
vòng đua mô tô	motordome
vòng đua ô tô	motordome
vòng đấu dây	cringle
vòng đệm	rove
võ juddô	judo
võ judô	ju-jitsu
võ phương đông	kata
võ sĩ đạo	bushido
võ đoán	dogmatic
võng lưng quá	sway-backed
võng tố	retinene
võng xuống	sag
vỏ  thuộc da	bark
vỏ bánh pa-tê	piecrust
vỏ bề ngoài	shell
vỏ cây	rind
vỏ cứng	crust
vỏ hột	testa
vỏ không	empty
vỏ lột	cast
vỏ nâo	mantle
vỏ quả giữa	mesocarp
vỏ rễ	epiblem
vỏ sắt	armour
vỏ thuộc da	tan
vỏ tiện	chip
vỏ trái cây	hull
vỏ trái đất	crust
vỏ trứng	ootheca
vỏ vôi	oecium
vỏ ốc non	protoconch
vỏ ốc xà cừ	pearl-shell
vỏ đại não	mantle
vỏ đạn	ball-cartridge
vỏ đậu	bean-pod
vỏ đồ hộp	can
vỏ đồng hồ	watch-case
vỏ đỗ	hull
vọng lâu	gazebo
vọng đến	arose
vọt lên	bump
vọt tới	shoot
vu hồi	diversionary
vu khống	malign
vu khống ai	stab
vu vơ	idly
vua ai cập	pharaoh
vua ba-tư	shah
vua bông	cotton-lord
vua chuyên chế	despot
vua chư hầu	under-king
vua hồi	calif
vua nước nhỏ	under-king
vua đức	kaiser
vui chơi	jollify
vui cười	laughing
vui hưởng	rejoice
vui liên hoan	cake
vui lên	brisk
vui mắt	cheerful
vui mừng	joy
vui nhộn	jazz
vui sướng	joy
vui thích với	pleasure
vui tếu	slap-happy
vui tưng bừng	transport
vui tươi	gay
vui tươi lên	perk
vui vẻ lên	thaw
vui đùa	lark
vui đùa ầm ĩ	rollick
vung vẩy	swing
vuôi	snot
vuông	sq
vuông góc	upright
vuông mũi	square-toed
vuông vuông	squarish
vuông vắn	squarely
vuốt	claw
vuốt dài	stretched
vuốt ngược	rough
vuốt phẳng	unrumple
vuốt thon	taper
vuốt thẳng	unbend
vuốt ve	carny
vùi xuống	tomb
vùng a-ca-đi-a	arcady
vùng bên họng	paragula
vùng bên trán	parafrons
vùng bờ biển	seaboard
vùng chẩm	protocranium
vùng có dầu	oilfield
vùng gắn thoi	centromere
vùng hậu môn	podex
vùng ken-tơ	kentish
vùng lân cận	vicinage
vùng lông	pteryla
vùng ngoại ô	precinct
vùng nội địa	inland
vùng nửa tối	penumbra
vùng phao câu	podex
vùng phụ cận	purlieu
vùng quê	countryside
vùng rễ	rhizosphere
vùng rừng	woodland
vùng sinh mô	histogen
vùng sinh vật	biota
vùng tạo mô	histogen
vùng trời	airspace
vùng vẫy	bestir
vùng vằng	protest
vùng xa xôi	outlandishness
vùng ổ nhớp	crissum
vùng đá vôi	karst
vùng đầm lầy	fell
vùng đồi	down
vùng đứt sâu	riftzone
vùng ức	pectus
vú lá sồi	spangle
vú nuôi	wet-nurse
vú nuôi bộ	dry-nurse
vú đá	stalactic
vũ khí thô sơ	primitive
vũ lượng kế	udometric
vũ lực	force
vũ nữ	dancer
vũ nữ ai-cập	alma
vũ nữ nhật	geisha
vũ trụ luận	cosmism
vũ đài	ring
vũ đoán	high-handed
vũng lây	bog
vũng lầy	dub
vũng nước	plash
vũng sâu	dub
vụ gặt	harvest
vụ không tặc	hijacking
vụ lễ tân	protocol
vụ lợi	emblement
vụ mưu hại	frame-up
vụ say rượu	drunk
vụ trồng xen	intercrop
vụ xử án sai	mistrial
vụ ăn cướp	robbery
vụ đánh lộn	mix-in
vụ đương cứu	subjudice
vụn bông	cotton-waste
vụn cỏ khô	hayseed
vụn thừa	picking
vụn trộm	stealthily
vụn vặt	petty
vụng trộm	hedge
vụng về	bark
vụt bay đi	flush
vụt hiện lên	flash
vụt quất	swish
vụt đau	wallop
vụt đi	zap
vân	vein
vân cẩm thạch	marbling
vân dùng	retain
vân màu hẹp	fasciola
vân rạn	craze
vân thạch	siderolite
vân vân	so
vân đá	marbling
vâng	yes
vâng lệnh	obedience
vâng lệnh ai	bidding
vâng lời	biddable
vây	oar
vây bọc	rim
vây bắt	raid
vây cá	fin
vây cánh bướm	androconium
vây giao cấu	gonopod
vây hãm	siege
vây ngực	pectoral
vây ngực giả	pseudobrachium
vây nhỏ	finlet
vây quanh	ring
vây to	flapper
vây tròn	orb
vần ép	assonance
vầy	paddle
vầy bùn	puddle
vầy vào	touch
vầy vọc	paw
vầy đất	dust
vấn	dress
vấn quanh	wreathe
vấn vương	nostalgically
vấn đáp	blob
vấn đề	thing
vấn đề phụ	side-issue
vấp	stump
vấp ngã	falter
vấp phải	met
vấp váp	blunder
vất vả	grub
vấu	cog
vấu lồi	lug
vấu nối	joggle
vấu tỳ	paul
vấy	imbrue
vấy bùn	mud
vấy bẩn	blot
vấy máu	gory
vấy mực	inky
vấy nước bẩn	drabble
vấy sơn	bedaub
vấy tung toé	plash
vẫn còn	rest
vẫn có	retain
vẫn cứ	rest
vẫn dẻo dai	strong
vẫn duy trì	hold
vẫn giữ	hold
vẫn hăm hở	strong
vẫn hăng hái	pecker
vẫn như thế	same
vẫn sung sức	strong
vẫn thạch	falling-stone
vẫn thường	still
vẫn vững	hold
vẫn đúng	good
vẫy	wag
vẫy cánh	flutter
vẫy mạnh	flirt
vẫy đuôi mưng	fawn
vẩn v	whiffle
vẩn vơ	idly
vẩn đục	muddily
vẩy	dabble
vẩy mốc	scurf
vẩy trắng	lunule
vận	luck
vận chuyển	tote
vận dụng	wield
vận hành	run
vận không may	bad
vận luật	metre
vận may	luck
vận mệnh	destiny
vận nghịch	adversity
vận rủi	bad
vận rủi ro	ambsace
vận số	ball
vận tải	tote
vận trù học	operation-analysis
vận tốc	speed
vận tốc dài	velocity
vận xấu	bad
vận đen	ambs-ace
vận đỏ	chancy
vận động	motive
vận động viên	hearty
vận đơn	waybill
vật	body
vật  nối	brace
vật  để ghi	marker
vật an ủi	solatia
vật ao ước	desire
vật ám chỉ	referent
vật ban cho	favor
vật bao bọc	wrappage
vật bay	flyer
vật bản địa	indigene
vật bảo hộ	protector
vật bảo vệ	protector
vật bảo đảm	surety
vật bé tí	shorty
vật béo lùn	punch
vật bị buộc	attachment
vật bị bắt	capture
vật bị ép	squash
vật bị loại	reject
vật bị mất	forfeit
vật bị nén	squash
vật bị thiệt	forfeit
vật bịt tai	earplug
vật bóng lộn	shiner
vật bỏ đi	reject
vật bẩn	foul
vật bốc ra	emission
vật bổ ra	chop
vật bổ sung	subsidiary
vật bằng nhau	equal
vật bức xạ	radiator
vật cáu bẩn	foulness
vật cản lại	pull-back
vật cạo	scourings
vật chạm trổ	scrimshaw
vật che chở	shield
vật che phủ	pall
vật chèn	chock
vật chiết	educt
vật chỉ thị	indicator
vật cho mượn	loan
vật chọn lọc	plum
vật chủ	host
vật chất	hylic
vật chất hoá	reify
vật chêm	chock
vật chế tạo	manufactures
vật chống	crutch
vật chống đỡ	bearer
vật chắn	fender
vật chắp vá	cento
vật chở	load
vật chữ y	wye
vật con	subobject
vật còn lại	rest
vật có chết	mortal
vật có ích	asset
vật có thật	existence
vật cùng sinh	connascence
vật cùng tên	namesake
vật cúng	ex-voto
vật cũ kỹ	antediluvian
vật cụ thể	concrete
vật cân bằng	equipoise
vật cầm cố	pledge
vật cố định	fixture
vật cống	tribute
vật cổ	obsolete
vật cổ lỗ	fossil
vật cộng sinh	symbiont
vật cắn	biter
vật cắt ra	cut
vật cưng	pet
vật cược	gage
vật dán dính	emplastic
vật dát	inlet
vật dạng cầu	globoid
vật dị dạng	abortion
vật duy nhất	unique
vật dụng	outfit
vật dẫn	leader
vật dơ bẩn	foulness
vật dự trữ	fallback
vật gài vào	insert
vật gánh	load
vật ghê tở	curse
vật giả	dummy
vật giả mạo	sham
vật giúp ích	adjuvant
vật giống	figure
vật giữ	retainer
vật gì	anything
vật gửi	deposit
vật hàn gắn	solder
vật hảo hạng	ringer
vật hại	vermin
vật hiếm có	curio
vật hình móc	claw
vật hình mỏ	beak
vật hình nón	cone
vật hình nêm	wedge
vật hình sao	star
vật hình t	tee
vật hình tai	ear
vật hình tia	radius
vật hình tim	heart
vật hình trụ	cylinder
vật hình tên	arrow
vật hình vảy	scale
vật hình yên	saddle
vật hình đĩa	disc
vật hoàn hảo	perfection
vật hoá đá	fossil
vật hậu học	phenology
vật hết thời	has-been
vật hôi	smeller
vật hôi thối	foul
vật hỗn hợp	mixture
vật hộ mệnh	palladia
vật hộ thân	palladia
vật hội sinh	commensal
vật hư ảo	vapour
vật hữu hình	tangibles
vật kèm theo	accompaniment
vật kém cỏi	pendicle
vật kéo	puller
vật khác	other
vật khảm	inlet
vật khoác lên	investiture
vật khó hiểu	riddle
vật khó tả	nondescript
vật khô	dry
vật không có	negation
vật khổng lồ	colossi
vật khắc lõm	intaglio
vật kinh tởm	carrion
vật kính	object-lens
vật kỳ diệu	marvel
vật kỳ dị	oddity
vật kỳ lạ	caution
vật kỳ quái	abnormity
vật ký sinh	guest
vật kỷ niệm	token
vật lai	hybrid
vật làm cùn	obtundent
vật làm dịu	balsam
vật làm giả	fake
vật làm kiểu	model
vật làm mẫu	scantling
vật làm nền	foil
vật làm tin	gage
vật làm ấm	warm
vật lạ	lion
vật liên kết	conjunct
vật liệu	work
vật lót	padding
vật lót hàng	dunnage
vật lọt qua	leakage
vật lý	vl-bus
vật lý  rađiô	radiophysics
vật lý học	physics
vật lý tưởng	ideal
vật lây nhiễm	infection
vật lấy vào	intake
vật lễ	ex-voto
vật lồng vào	inlet
vật lố lăng	object
vật lỗi thời	fossil
vật lộn	admixture
vật lộn  &	agonize
vật lộn với	wrestle
vật lắp vào	inlet
vật lớn lên	upgrowth
vật lưu niệm	keepsake
vật mang	charge
vật mang điện	charge
vật mạ điện	electroplate
vật mẹ	dam
vật minh hoạ	illustrator
vật mong muốn	desire
vật mua lại	repurchase
vật mua được	purchase
vật mẫu	thing
vật mẫu mực	phoenix
vật mẩu khô	exsiccata
vật mềm	soft
vật mới lạ	novelty
vật mới đến	arrival
vật nảy lên	bouncer
vật ngang nhau	equal
vật ngáng	bar
vật nghi trang	decoy
vật ngoài	foreign
vật ngoại lai	exotic
vật nguy hại	foe
vật ngăn cản	preventer
vật ngăn trở	preventer
vật nhay	nipper
vật nhỏ	atom
vật nhỏ bé	pony
vật nhỏ mọn	trifle
vật nhỏ xíu	atomy
vật nhọn	prod
vật nhơ bẩn	carrion
vật nhờn	goo
vật như thế	same
vật nuôi	livestock
vật nối	coupling
vật nổi	flotage
vật nổi bật	oriflamme
vật pha tạp	bastard
vật phá hoại	destroyer
vật phá huỷ	destroyer
vật phát minh	invention
vật phát ra	emission
vật phóng	ejecta
vật phóng ra	missile
vật phun trào	dejecta
vật phù du	fugitive
vật phủ	lap
vật phụ	subsidiary
vật phụ thêm	appendage
vật phẩm	article
vật quái dị	monstrosity
vật quí hiếm	exotica
vật quí nhất	ewe-lamb
vật quý	lion
vật rác rưởi	dirt
vật rỉ ra	leakage
vật rọi sáng	illuminant
vật rung động	vibrator
vật rất nhỏ	midget
vật rất tồi	nothing
vật rất tốt	egg
vật rắn	solid
vật sáng chế	invention
vật sáng tác	invention
vật so sánh	example
vật sót lại	survival
vật sống	life
vật sở hữu	possession
vật táp nham	disparate
vật tạ ơn	acknowledgment
vật tạp nhạp	trumpery
vật thay	commutator
vật thay thế	substitute
vật thay tiền	moneys-worth
vật thả dù	drop
vật thải	tailing
vật thải ra	waste
vật thiêng	sacrament
vật thu được	ettings
vật thúc dục	incitant
vật thúc đẩy	impeller
vật thần	ju-ju
vật thêm vào	addenda
vật thể	body
vật thể học	somatology
vật thể luận	corporealism
vật thối rữa	putridity
vật thắt lại	constriction
vật thờ	fetish
vật thưởng	reward
vật thừa	ort
vật thừa ra	surplusage
vật thứ ba	third
vật thứ bảy	seventh
vật thứ bốn	fourth
vật thứ chín	ninth
vật thứ hai	second
vật thứ mười	tenth
vật thứ năm	fifth
vật thứ sáu	sixth
vật thứ tám	eighth
vật tiêu biểu	exponent
vật tiêu diệt	destroyer
vật tìm ra	trove
vật tìm thấy	find
vật tích tụ	drift
vật to gộ	bouncer
vật to lùn	punch
vật to lớn	welter
vật toả ra	emission
vật trang sức	decker
vật trang trí	fal-lal
vật trèo qua	climb
vật tròn	roundel
vật trọn vẹn	integer
vật truyền	vehicle
vật trên cỡ	oversize
vật trôi giạt	waif
vật trưng bày	exhibit
vật tuyệt	pip
vật tuôn ra	efflux
vật tậu được	purchase
vật tế	victim
vật tết	mat
vật tồi	loser
vật tồn tại	esse
vật tốt nhất	plum
vật tổ	totem
vật tắc mạch	embolus
vật tặng	bounty
vật tương tự	similar
vật tương ứng	homologue
vật tự cháy	pyrophorus
vật tự nó	ding-an-sich
vật vụn	detrital
vật vô chủ	waif
vật vô dụng	lemon
vật vô hình	shade
vật vướng	hazard
vật xinh	prettiness
vật xinh sắn	prettiness
vật xinh xinh	prettiness
vật xuống	topple
vật xúc tác	catalyst
vật xúi	hoodoo
vật xúi quẩy	jinx
vật yêu sách	claim
vật ấm	warm
vật ấy	that
vật ăn thịt	sarcophaga
vật ăn được	edible
vật đáng yêu	dear
vật đem cầm	pawn
vật đẻ non	abortion
vật đẹp	picture
vật đó	same
vật đúc	cast
vật đúc lại	recast
vật đút lót	sop
vật đầu tiên	first
vật đẩy	pusher
vật đề kỳ	strigil
vật đền đáp	acknowledgment
vật để bịt	obturator
vật để chích	stinger
vật để châm	stinger
vật để cắt	cutter
vật để khảm	tessera
vật để lạc	estray
vật để lại	cession
vật để lắp	obturator
vật để mở	opener
vật để nhớ	memento
vật để nong	stretcher
vật để nối	link
vật để thử	test
vật đệm	buffer
vật đổ nát	wreck
vật đội	load
vật độn	padding
vật đặc biệt	dilly
vật đơn	single
vật đỡ	rib
vậy	then
vậy à	indeed
vậy nói đến	referent
vậy nặng	load
vậy thì	thus
vênh	warp
vênh  lên	perk
vênh vang	prank
vênh váo	oat
vênh váo hơn	overcrow
vênh vênh	chuck
về	on
về ai	whereof
về bản chất	essentially
về bè với ai	part
về bên nội	paternally
về bên trái	sinistral
về cái gì	whereof
về cái này	hereof
về chị em	sisterly
về chầu trời	glory
về chầu tổ	gather
về cuối	latterly
về căn bản	substantially
về cơ bản	basically
về dùng từ	logomachic
về già	wane
về hậu cần	logistic
về hướng bắc	north
về hướng nam	south
về hướng tây	west
về hướng đông	east
về khoa học	sciantific
về khuôn mặt	facially
về lạc quan	optimistically
về mọi mặt	inch
về mùa đông	hibernal
về một bên	aside
về một mạn	overside
về mặt này	regard
về mặt ấy	therein
về nguồn gốc	originally
về người	anthrop
về nhà	chez
về nước	home
về phe với	stood
về phía	on
về phía biển	seaward
về phía bắc	northward
về phía bờ	inshore
về phía nam	southward
về phía phải	rightwards
về phía phố	streetward
về phía sau	astern
về phía trái	left
về phía trên	onto
về phía đó	thitherward
về phía đuôi	caudad
về phía đầu	cephalad
về phía đông	eastward
về phong phú	opulently
về phần	regard
về phần tôi	part
về phương nam	southerly
về sang trọng	opulently
về sau	ulterior
về sau này	future
về sân khấu	thespian
về số lượng	numerically
về thân thể	corporally
về thể xác	corporally
về thống kê	statistically
về thực chất	substantially
về tương lai	forward
về việc	re
về việc ấy	where-about
về vấn đề	regard
về vườn	moth-ball
về âm thanh	acoustically
về điều đó	connexion
về điểm này	regard
về đóng kịch	thespian
về đêm	nightly
về độ vang âm	acoustically
về đằng nội	paternally
vều	blubber
vế	member
vế thứ hai	member
vế thứ nhất	member
vế đốm	splash
vết	pop
vết bỏng	burn
vết bỏng lớn	bulla
vết bùn	splash
vết bẩn	slur
vết băm	wound
vết bớt	birth-mark
vết cạo	earsure
vết chàm	naevi
vết cháy	burn
vết chạm	incision
vết chém	slash
vết chích	gab
vết chọc	prick
vết châm	prick
vết chân	pug
vết cắn	bite
vết cắt	gash
vết cưa	kerf
vết dơ	smudge
vết gỉ sắt	iron-mould
vết gươm chém	sword-cut
vết hoen ố	attaint
vết hằn	impression
vết hằn ép	dint
vết in	imprint
vết khía	gab
vết khắc	gash
vết khứa	snick
vết lang trán	blazer
vết lõm	dent
vết lõm ức	fonticulus
vết lún	rut
vết lốm đốm	fleck
vết lộ	uncovering
vết lằn	wale
vết lằn nổi	dint
vết mẻ	dent
vết mục	slough
vết mổ	peck
vết mờ	fog
vết mực	blur
vết nẻ	cranny
vết ngón tay	finger-mark
vết nhỏ	tache
vết nhọ	smut
vết nhục	blot
vết nhăn	cockle
vết nhơ	spot
vết nứt	flaw
vết ran	craze
vết rách	rip
vết rạch	gash
vết rạn	crab-pot
vết rắn cắn	snake-bite
vết sém	scorch-mark
vết sẹo	scar
vết sóng	wake
vết sầy da	gall
vết thủng	snag
vết thâm	bruise
vết thâm tím	bruise
vết thương	hurt
vết tích	vestige
vết toác	hack
vết toạc	snag
vết tội lỗi	taint
vết tử thương	death-wound
vết vó ngựa	hoofprint
vết vấy	plash
vết vấy bẩn	gout
vết vẩn đục	cloud
vết xe	furrow
vết xé dài	rip
vết xẻ	cut
vết xoá	blot
vết xây sát	scratch
vết xấu	taint
vết xước	chalk
vết ố	blur
vết đánh	dint
vết đen	macle
vết đẽo	gab
vết đòn	dint
vết đỏ nhỏ	flea-bite
vết đứt	cut
vể nôm na	prosaism
vểnh  lên	perk
vểnh lên	perk
vệ binh	guard
vệ sinh	hygiene
vệ sinh viên	hygienist
vệ sĩ	bodyguard
vệ thành	acropolis
vệ tinh	secondary
vện	brindle
vệt hơi	vapour-trail
vệt màu	tache
vệt mặt trời	sun-spot
vô	sine
vô biên	spanless
vô bổ	unhelpful
vô bờ	measureless
vô chính phủ	anarchic
vô chủ	ownerless
vô chừng	measureless
vô cùng	day
vô căn cứ	delusively
vô cớ	wanton
vô cực	infinite
vô danh	unnoted
vô duyên	flat
vô dụng	dud
vô gia cư	outcast
vô giao	agamic
vô giá	ruby
vô giá trị	bum
vô giáo dục	hairy
vô hại	harmless
vô hạn	day
vô hạn định	indefinitely
vô hạn đọ	consumedly
vô hạnh	unprincipled
vô hiệu	null
vô hiệu hoá .	sterilization
vô hiệu quả	idly
vô hình	airy
vô học	uneducated
vô ích	idly
vô khuẩn	aseptic
vô khối	ocean
vô kỷ luật	undisciplined
vô kế	resourceless
vô kể	countless
vô lại	currish
vô liêm sỉ	calm
vô luân	immorally
vô luân thường	unprincipled
vô lý	rhyme
vô lý!	humbug
vô lễ	rude
vô lưng tâm	unscrupulous
vô lương tâm	conscienceless
vô mục đích	pointlessness
vô n	unthankful
vô nghĩa	empty
vô nghĩa lý	preposterous
vô ngần	unmeasurable
vô nhân đạo	outrageous
vô phạt	innocuous
vô phép	ungentlemanly
vô phương	resource
vô sản	working
vô sản hoá	proletarianize
vô sinh	azoic
vô sỉ	lewd
vô song	uniquely
vô sô	numberless
vô số	lot
vô số kể	incalculably
vô sự	unhurt
vô tác dụng	otiose
vô thanh hoá	unvoice
vô thần	ethnic
vô thể	unbodied
vô thời	scleronomous
vô thưởng	innocuous
vô tinh	listless
vô tình	dry
vô tích sự	measly
vô tính	agamic
vô tri vô giác	insensate
vô trùng	aseptic
vô trật tự	lawless
vô tuyến	gobo
vô tuyến màu	colour-cast
vô tâm	vaguely
vô tận	endless
vô tổ chức	unorganized
vô tội	white
vô tư	candid
vô tư lự	carefree
vô vàn	ocean
vô vị	dry
vô vọng	unhopeful
vô vùng	unlimited
vô ý	mused
vô ý nghĩa	unsensed
vô ý thức	gormless
vô ý tứ	casual
vô ý vô tứ	shatter-brained
vô ổn định	astatic
vô đạo	unholy
vô điều kiện	absolutely
vô địch	champion
vô định	infinitive
vô định hình	textureless
vô định hướng	astatic
vô độ	disordinate
vô đựng vữa	hod
vô ơn	thankless
vôi	lime
vôi bột trắng	whiting
vôi sống	quicklime
vôi tôi	slacklime
vôi vỏ sò	shell-lime
vôi đỏ y	scaglia
vôi để tôi	fat-lime
vôn kế	voltmeter
vôđơvin	vaudeville
vồ	crab
vồ lấy	grab
vồ ngay lấy	pounce
vồ vập	gushingly
vồ đập cá	priest
vồn vã	gushy
vồng lên	camber
vố ác	nasty
vố chơi khăm	sell
vố lừa bịp	fiddle
vốc	palmful
vốn	stock
vốn chìm	sinking-fund
vốn chính	principal
vốn chung	pool
vốn chết	lock-up
vốn có	inbuilt
vốn có ở	inhere
vốn cúng cho	endowment
vốn cố đinh	capital
vốn cổ phần.	equity
vốn góp	pool
vốn hóa	capitalization
vốn quý	asset
vốn sẵn có	ability
vốn thuộc về	inhere
vốn đã	inherently
vốn đầu tư	investment
vốn để lại	endowment
vỗ	cram
vỗ béo	fatal
vỗ bì bõm	plash
vỗ bập bềnh	lap
vỗ bờ	lip
vỗ cánh	flutter
vỗ ì oàm	swash
vỗ mạnh	smite
vỗ nhẹ	dab
vỗ phần phật	slat
vỗ tay	clap
vỗ tay hoan hô	cheer
vỗ tay thuê	chirrup
vỗ về	coax
vội	hasty
vội gấp	rush
vội phê phán	prejudge
vội tin	took
vội vàng	push
vội vã	hie
vội đánh giá	prejudge
văn	tortile
văn bản	deed
văn bản video	videotext
văn bia	epitaph
văn bằng	diploma
văn cảnh	context
văn châm biếm	satire
văn chương	lettered
văn cầu kỳ	euphuism
văn hoa	flowery
văn hoá	culture
văn hoá học	culturology
văn hoá nhóm	subculture
văn hoá đức	kultur
văn học	letter
văn học hy-la	classic
văn hùng hồn	oratory
văn hứa hẹn	plight
văn khiêu dâm	pornography
văn kiểu cách	euphuism
văn kiện	roll
văn kêu	sonorously
văn minh	culture
văn minh âu tây	occident
văn mộ chí	epitaph
văn nhà báo	journalese
văn nhã	gentilesse
văn nhại	parody
văn phong	style
văn phong riêng	mannerism
văn phòng	study
văn sáo	fustian
văn sĩ	grub
văn sĩ ba xu	penny-a-liner
văn thư	record
văn thư công	diploma
văn tự	iou
văn tự giả	kite
văn uỷ mị	namby-pamby
văn viết báo	journalese
văn xuôi	prose
văn ăn cắp	plagiarism
văn đả kích	lampoonery
văn điện báo	telegraphese
văng	threw
văng lên	splash
văng mạnh	dash
văng mặt	stay
văng ra	let
vằn	stria
vắn tắt	brief
vắng	missing
vắng mặt	absent
vắng vẻ	desert
vắt	wrung
vắt kiệt	orange
vắt ngang	traverse
vắt ra	press
vặn	turn
vặn  lùi lại	put
vặn  lên	put
vặn  ra	unscrew
vặn chậm lại	set
vặn chặt	took
vặn cổ	scrag
vặn lại	retort
vặn mạnh	wrest
vặn vẹo	squirm
vặn vít	screw
vặn vặn	twiddle
vặn xoắn	entwist
vặt	odd
vặt hết lá	disleaf
vặt lông	pluck
vặt rời	separate
vặt vãnh	toyish
vặt vânh	puerile
vặt đi	pick
vơ vét	rifle
vơi	ullaged
vờ nằm im	possum
vờ tán tỉnh	flirt
vờ vĩnh	scenic
vờ vịt	play-act
vớ	pot
vớ bở	jackpot
vớ ngay lấy	pounce
vớ tất	swept
vớ vẩn	fool
vớ vẩn!	fudge
vớ được	pick
với	cum
với cái đó	wherewith
với giọng ê a	singsong
với mục đích	design
với tay	reach
với tay ai	long
với thâm tâm	inwardly
với tư cách	virtue
với vẻ lính	soldierly
với xa hơn	outreach
với ý tốt	well-meant
vớt	pick
vớt bọt biển	sponge
vỡ	give
vỡ bể	crash
vỡ hoang	subdue
vỡ lòng	initiate
vỡ mạch máu	adventitia
vỡ nợ	go
vỡ ra	split
vỡ tan	flinders
vỡ tan tành	moulder
vỡ tiếng	break
vỡ tung ra	burst
vỡ vụn	crumble
vở	copy-book
vở bài tập	exercise-book
vở kịch	play
vở kịch ngắn	play-let
vở nháp	sketch-pad
vở tập viết	copybook
vở từng mảnh	piece
vợ	rib
vợ bá tước	countess
vợ chồng	wedded
vợ chưa cưới	betrothed
vợ con	hostage
vợ công tước	duchess
vợ lẽ	concubine
vợ linh mục	vicaress
vợ lính mỹ	gi
vợ ratja	rani
vợ sắp cưới	intended
vợ tử tước	viscountess
vợ vua	queen
